steps,res,frames,Wh,Input type,architecture,params,fps,duration,run_time
50.0,921600.0,49.0,38.0,text,dit,1.3,15,3.2666666666666666,190.9731401205063
50.0,921600.0,6.0,3.0,text,dit,1.3,15,0.4,13.712557911872864
50.0,921600.0,34.0,22.0,text,dit,1.3,15,2.2666666666666666,100.5961400270462
50.0,921600.0,65.0,61.0,text,dit,1.3,15,4.333333333333333,287.72403848171234
50.0,921600.0,3.0,1.0,text,dit,1.3,15,0.2,6.395071387290955
50.0,921600.0,46.0,34.0,text,dit,1.3,15,3.066666666666667,158.17741882801056
50.0,921600.0,19.0,9.0,text,dit,1.3,15,1.2666666666666666,42.6207115650177
50.0,921600.0,20.0,12.0,text,dit,1.3,15,1.3333333333333333,55.946271777153015
50.0,921600.0,52.0,42.0,text,dit,1.3,15,3.466666666666667,212.544615983963
50.0,921600.0,2.0,1.0,text,dit,1.3,15,0.13333333333333333,6.396754503250122
50.0,921600.0,86.0,96.0,text,dit,1.3,15,5.733333333333333,452.09529280662537
50.0,331776.0,81.0,16.0,text,dit,1.3,15,5.4,76.05316758155823
50.0,270336.0,81.0,12.0,text,dit,1.3,15,5.4,55.934642910957336
50.0,147456.0,81.0,5.0,text,dit,1.3,15,5.4,25.149334192276
50.0,661504.0,81.0,50.0,text,dit,1.3,15,5.4,225.63827800750727
50.0,114688.0,81.0,4.0,text,dit,1.3,15,5.4,18.53192627429962
50.0,65536.0,81.0,2.0,text,dit,1.3,15,5.4,9.85711133480072
50.0,399360.0,81.0,22.0,text,dit,1.3,15,5.4,100.24848330020905
50.0,184320.0,81.0,7.0,text,dit,1.3,15,5.4,33.336573362350464
50.0,76800.0,81.0,2.0,text,dit,1.3,15,5.4,11.93269944190979
50.0,262144.0,81.0,12.0,text,dit,1.3,15,5.4,53.90890455245972
50.0,1806336.0,81.0,157.7,text,dit,1.3,15,5.4,1336.6927964687347
50.0,1327104.0,81.0,157.7,text,dit,1.3,15,5.4,761.757609128952
50.0,921600.0,81.0,87.0,text,dit,1.3,15,5.4,397.8986040353775
50.0,589824.0,81.0,40.0,text,dit,1.3,15,5.4,185.78938603401184
160.0,921600.0,50.0,126.0,text,dit,1.3,15,3.3333333333333335,574.92183248202
154.0,921600.0,50.0,122.0,text,dit,1.3,15,3.3333333333333335,553.1011447906494
191.0,921600.0,50.0,154.0,text,dit,1.3,15,3.3333333333333335,686.11869597435
197.0,921600.0,50.0,157.0,text,dit,1.3,15,3.3333333333333335,707.2547765572866
171.0,921600.0,50.0,135.0,text,dit,1.3,15,3.3333333333333335,611.1087482770284
3.0,921600.0,50.0,3.0,text,dit,1.3,15,3.3333333333333335,15.438905000686646
50.0,921600.0,50.0,40.0,text,dit,1.3,15,3.3333333333333335,183.65741380055744
123.0,921600.0,50.0,98.0,text,dit,1.3,15,3.3333333333333335,445.065528233846
45.0,921600.0,50.0,36.0,text,dit,1.3,15,3.3333333333333335,165.44000522295633
41.0,921600.0,50.0,33.0,text,dit,1.3,15,3.3333333333333335,151.32606530189514
42.0,921600.0,50.0,34.0,text,dit,1.3,15,3.3333333333333335,154.84353391329446
175.0,921600.0,50.0,139.0,text,dit,1.3,15,3.3333333333333335,625.6297272841135
56.0,921600.0,50.0,45.0,text,dit,1.3,15,3.3333333333333335,205.1059417724609
48.0,921600.0,50.0,39.0,text,dit,1.3,15,3.3333333333333335,176.3118054072062
38.0,921600.0,50.0,31.0,text,dit,1.3,15,3.3333333333333335,140.48164415359497
122.0,921600.0,50.0,97.0,text,dit,1.3,15,3.3333333333333335,440.9567515055339
120.0,921600.0,50.0,95.0,text,dit,1.3,15,3.3333333333333335,433.4761091073354
9.0,921600.0,50.0,8.0,text,dit,1.3,15,3.3333333333333335,36.84454806645712
165.0,921600.0,50.0,131.0,text,dit,1.3,15,3.3333333333333335,591.882330497106
103.0,921600.0,50.0,82.0,text,dit,1.3,15,3.3333333333333335,371.0958520571391
54.0,921600.0,50.0,43.0,text,dit,1.3,15,3.3333333333333335,197.40940610567728
75.0,921600.0,50.0,60.0,text,dit,1.3,15,3.3333333333333335,273.08867899576825
18.0,921600.0,50.0,15.0,text,dit,1.3,15,3.3333333333333335,68.94569547971089
58.0,921600.0,50.0,47.0,text,dit,1.3,15,3.3333333333333335,212.2948629061381
66.0,921600.0,50.0,53.0,text,dit,1.3,15,3.3333333333333335,240.50349632898968
157.0,921600.0,50.0,125.0,text,dit,1.3,15,3.3333333333333335,565.1074204444885
2.0,921600.0,50.0,3.0,text,dit,1.3,15,3.3333333333333335,11.881079832712809
26.0,921600.0,50.0,21.0,text,dit,1.3,15,3.3333333333333335,97.54430190722148
95.0,921600.0,50.0,75.0,text,dit,1.3,15,3.3333333333333335,342.8273142973582
134.0,921600.0,50.0,107.0,text,dit,1.3,15,3.3333333333333335,482.215927362442
53.0,921600.0,50.0,43.0,text,dit,1.3,15,3.3333333333333335,193.9046093622844
199.0,921600.0,50.0,157.7,text,dit,1.3,15,3.3333333333333335,714.7459876537323
166.0,921600.0,50.0,132.0,text,dit,1.3,15,3.3333333333333335,594.9370048840841
131.0,921600.0,50.0,105.0,text,dit,1.3,15,3.3333333333333335,471.0062781969706
190.0,921600.0,50.0,152.0,text,dit,1.3,15,3.3333333333333335,682.0449379285177
61.0,921600.0,50.0,49.0,text,dit,1.3,15,3.3333333333333335,223.2327942053477
130.0,921600.0,50.0,104.0,text,dit,1.3,15,3.3333333333333335,469.0192046960195
189.0,921600.0,50.0,150.0,text,dit,1.3,15,3.3333333333333335,678.9518075784048
196.0,921600.0,50.0,156.0,text,dit,1.3,15,3.3333333333333335,703.8937961260477
55.0,921600.0,50.0,44.0,text,dit,1.3,15,3.3333333333333335,201.12629342079163
116.0,921600.0,50.0,92.0,text,dit,1.3,15,3.3333333333333335,418.7338016827901
108.0,921600.0,50.0,85.0,text,dit,1.3,15,3.3333333333333335,388.5975617567698
25.0,921600.0,50.0,21.0,text,dit,1.3,15,3.3333333333333335,94.05851324399312
167.0,921600.0,50.0,132.0,text,dit,1.3,15,3.3333333333333335,598.7363918622335
16.0,921600.0,50.0,14.0,text,dit,1.3,15,3.3333333333333335,61.839388291041054
168.0,921600.0,50.0,133.0,text,dit,1.3,15,3.3333333333333335,601.417160987854
200.0,921600.0,50.0,157.7,text,dit,1.3,15,3.3333333333333335,718.346206744512
59.0,921600.0,50.0,47.0,text,dit,1.3,15,3.3333333333333335,215.80681610107425
70.0,921600.0,50.0,56.0,text,dit,1.3,15,3.3333333333333335,254.0049788157145
32.0,921600.0,50.0,26.0,text,dit,1.3,15,3.3333333333333335,118.9865922133128
